"entidad","pob_tot","year","year_real"
"Aguascalientes",1312544,2015,2015
"Baja California",3315766,2015,2015
"Baja California Sur",712029,2015,2015
"Campeche",899931,2015,2015
"Coahuila de Zaragoza",2954915,2015,2015
"Colima",711235,2015,2015
"Chiapas",5217908,2015,2015
"Chihuahua",3556574,2015,2015
"Ciudad de México",8918653,2015,2015
"Durango",1754754,2015,2015
"Guanajuato",5853677,2015,2015
"Guerrero",3533251,2015,2015
"Hidalgo",2858359,2015,2015
"Jalisco",7844830,2015,2015
"México",16187608,2015,2015
"Michoacán de Ocampo",4584471,2015,2015
"Morelos",1903811,2015,2015
"Nayarit",1181050,2015,2015
"Nuevo León",5119504,2015,2015
"Oaxaca",3967889,2015,2015
"Puebla",6168883,2015,2015
"Querétaro",2038372,2015,2015
"Quintana Roo",1501562,2015,2015
"San Luis Potosí",2717820,2015,2015
"Sinaloa",2966321,2015,2015
"Sonora",2850330,2015,2015
"Tabasco",2395272,2015,2015
"Tamaulipas",3441698,2015,2015
"Tlaxcala",1272847,2015,2015
"Veracruz de Ignacio de la Llave",8112505,2015,2015
"Yucatán",2097175,2015,2015
"Zacatecas",1579209,2015,2015
"Aguascalientes",1312544,2017,2015
"Baja California",3315766,2017,2015
"Baja California Sur",712029,2017,2015
"Campeche",899931,2017,2015
"Coahuila de Zaragoza",2954915,2017,2015
"Colima",711235,2017,2015
"Chiapas",5217908,2017,2015
"Chihuahua",3556574,2017,2015
"Ciudad de México",8918653,2017,2015
"Durango",1754754,2017,2015
"Guanajuato",5853677,2017,2015
"Guerrero",3533251,2017,2015
"Hidalgo",2858359,2017,2015
"Jalisco",7844830,2017,2015
"México",16187608,2017,2015
"Michoacán de Ocampo",4584471,2017,2015
"Morelos",1903811,2017,2015
"Nayarit",1181050,2017,2015
"Nuevo León",5119504,2017,2015
"Oaxaca",3967889,2017,2015
"Puebla",6168883,2017,2015
"Querétaro",2038372,2017,2015
"Quintana Roo",1501562,2017,2015
"San Luis Potosí",2717820,2017,2015
"Sinaloa",2966321,2017,2015
"Sonora",2850330,2017,2015
"Tabasco",2395272,2017,2015
"Tamaulipas",3441698,2017,2015
"Tlaxcala",1272847,2017,2015
"Veracruz de Ignacio de la Llave",8112505,2017,2015
"Yucatán",2097175,2017,2015
"Zacatecas",1579209,2017,2015
"Aguascalientes",1425607,2019,2020
"Baja California",3769020,2019,2020
"Baja California Sur",798447,2019,2020
"Campeche",928363,2019,2020
"Coahuila de Zaragoza",3146771,2019,2020
"Colima",731391,2019,2020
"Chiapas",5543828,2019,2020
"Chihuahua",3741869,2019,2020
"Ciudad de México",9209944,2019,2020
"Durango",1832650,2019,2020
"Guanajuato",6166934,2019,2020
"Guerrero",3540685,2019,2020
"Hidalgo",3082841,2019,2020
"Jalisco",8348151,2019,2020
"México",16992418,2019,2020
"Michoacán de Ocampo",4748846,2019,2020
"Morelos",1971520,2019,2020
"Nayarit",1235456,2019,2020
"Nuevo León",5784442,2019,2020
"Oaxaca",4132148,2019,2020
"Puebla",6583278,2019,2020
"Querétaro",2368467,2019,2020
"Quintana Roo",1857985,2019,2020
"San Luis Potosí",2822255,2019,2020
"Sinaloa",3026943,2019,2020
"Sonora",2944840,2019,2020
"Tabasco",2402598,2019,2020
"Tamaulipas",3527735,2019,2020
"Tlaxcala",1342977,2019,2020
"Veracruz de Ignacio de la Llave",8062579,2019,2020
"Yucatán",2320898,2019,2020
"Zacatecas",1622138,2019,2020
